kommun,responses,hem_strict_count,hem_strict_share,hem_lemma_count,hem_lemma_share
Mora,376,7,0.018617021276595744,51,0.1356382978723404
Ludvika,298,9,0.030201342281879196,25,0.08389261744966443
Avesta,184,4,0.021739130434782608,18,0.09782608695652174
Malung-Salen,211,4,0.018957345971563982,17,0.08056872037914692
Falun,303,4,0.013201320132013201,16,0.052805280528052806
Alvdalen,152,6,0.039473684210526314,13,0.08552631578947369
Leksand,257,1,0.0038910505836575876,13,0.05058365758754864
Smedjebacken,146,6,0.0410958904109589,12,0.0821917808219178
Sater,143,5,0.03496503496503497,11,0.07692307692307693
Rattvik,148,3,0.02027027027027027,11,0.07432432432432433
Orsa,134,4,0.029850746268656716,9,0.06716417910447761
Gagnef,143,1,0.006993006993006993,9,0.06293706293706294
Hedemora,104,1,0.009615384615384616,7,0.0673076923076923
Borlange,176,1,0.005681818181818182,6,0.03409090909090909
Vansbro,106,0,0,5,0.04716981132075472
